group,name,phone,slug,text
G1,D1 Garage,+48500456769,g1-01,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-01
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto-Serwis Bednarski,+48606436433,g1-02,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-02
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto-Serwis Wilemski,+48698753294,g1-03,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-03
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,KM Serwis,+48664489109,g1-04,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-04
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Piekarski Autoserwis,+48691705793,g1-05,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-05
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Mechanika Świątnicki,+48606475687,g1-06,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-06
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Perfect Car,+48695922780,g1-07,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-07
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto Naprawa Dudek,+48512235967,g1-08,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-08
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,OS Serwis,+48519427876,g1-09,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-09
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Mechanika Pojazdowa Lefik,+48787481992,g1-10,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-10
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto Complex,+48606649771,g1-11,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-11
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Mechanika Rogalski,+48507463366,g1-12,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-12
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Łabuś Autoserwis,+48604463870,g1-13,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-13
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Luk Serwis,+48502568387,g1-14,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-14
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Lukas Servis,+48600919067,g1-15,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-15
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Orzeł Serwis 4x4,+48511961665,g1-16,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-16
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Car Service Kursewicz,+48518044200,g1-17,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-17
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Darkar,+48500188739,g1-18,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-18
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Speed Service,+48669502000,g1-19,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-19
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Moto-Centrum,+48792054224,g1-20,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-20
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,HITUS,+48668035181,g1-21,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-21
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto Nowicki,+48516080881,g1-22,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-22
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto-Express,+48889220319,g1-23,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-23
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Mechanika Nowacki,+48798331003,g1-24,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-24
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,LUKCAR,+48501782825,g1-25,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-25
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Stefmar,+48508121005,g1-26,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-26
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Auto-Precyzja,+48502050758,g1-27,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-27
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,MAR-GAB,+48693184897,g1-28,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-28
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
G1,Warsztat Frączek,+48697871602,g1-29,"Dzień dobry, Stanisław z Givyx. W poniedziałek wysłałem maila z przykładową stroną dla warsztatu: https://warsztat.givyx.com/?utm_source=sms&utm_campaign=sms-gw-20260921-29
Jeśli chcecie taką z Waszą nazwą, wystarczy odpisać „tak”."
