group,name,phone,slug,text
A,Turbo Żółw,+48881009000,turbozolw,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://turbozolw.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,P&M Serwis,+48501667537,pimserwis,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://pimserwis.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,GO CARS,+48515543195,gocars,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://gocars.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,M-AUTO,+48501378085,mauto,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://mauto.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,Carmobile,+48516306324,carmobile,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://carmobile.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,Sylwek,+48663510725,sylwek,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://sylwek.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,Dieselsoft,+48508286910,dieselsoft,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://dieselsoft.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
A,VAG Serwis,+48505095855,vagserwis,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://vagserwis.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,Auto-Serwis Posłowski,+48603169095,poslowski,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://poslowski.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,Idzikowski Auto Serwis,+48691776127,idzikowski,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://idzikowski.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
